window,accuracy
31011:31036,0.808695652173913
31012:31037,0.808695652173913
12812:12837,0.782608695652174
12806:12831,0.773913043478261
12817:12842,0.773913043478261
31014:31039,0.7739130434782608
12814:12839,0.7652173913043478
31010:31035,0.7652173913043477
31013:31038,0.7652173913043477
12816:12841,0.7565217391304347
12815:12840,0.7565217391304346
34360:34385,0.7478260869565218
12808:12833,0.7478260869565216
12811:12836,0.7478260869565216
12805:12830,0.7391304347826086
12809:12834,0.7391304347826086
24680:24705,0.7391304347826086
31018:31043,0.7391304347826086
34361:34386,0.7391304347826086
2933:2958,0.7304347826086957
12813:12838,0.7304347826086957
21840:21865,0.7304347826086957
23287:23312,0.7304347826086957
24682:24707,0.7304347826086957
24684:24709,0.7304347826086957
32071:32096,0.7304347826086957
32072:32097,0.7304347826086957
32899:32924,0.7304347826086957
34359:34384,0.7304347826086957
2932:2957,0.7217391304347827
2937:2962,0.7217391304347827
8786:8811,0.7217391304347827
12804:12829,0.7217391304347827
12810:12835,0.7217391304347827
31009:31034,0.7217391304347827
32073:32098,0.7217391304347827
32079:32104,0.7217391304347827
1662:1687,0.7217391304347825
24655:24680,0.7217391304347825
31015:31040,0.7217391304347825
32095:32120,0.7217391304347825
24683:24708,0.7130434782608697
24687:24712,0.7130434782608697
32074:32099,0.7130434782608697
1660:1685,0.7130434782608696
1661:1686,0.7130434782608696
1663:1688,0.7130434782608696
1664:1689,0.7130434782608696
1666:1691,0.7130434782608696
1667:1692,0.7130434782608696
1668:1693,0.7130434782608696
1669:1694,0.7130434782608696
1702:1727,0.7130434782608696
7007:7032,0.7130434782608696
8789:8814,0.7130434782608696
12818:12843,0.7130434782608696
24654:24679,0.7130434782608696
26160:26185,0.7130434782608696
31008:31033,0.7130434782608696
32096:32121,0.7130434782608696
32898:32923,0.7130434782608696
32900:32925,0.7130434782608696
7003:7028,0.7043478260869567
1674:1699,0.7043478260869566
2936:2961,0.7043478260869566
12807:12832,0.7043478260869566
24653:24678,0.7043478260869566
24656:24681,0.7043478260869566
